date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-05-22 14:35:00,3700.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,3.0,14.0,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-21 15:52:00,2000.0,나의우주,카페/음료,일시불,신한,2.0,15.0,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-21 14:38:00,2300.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,2.0,14.0,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-20 23:55:00,188890.0,쿠팡,쇼핑/의류,일시불,신한,1.0,23.0,evening,2025-W20,2025-05-19/2025-05-25
2025-05-20 13:55:00,12800.0,할리스커피 여의도파이낸스타워,카페/음료,일시불,신한,1.0,13.0,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-20 12:39:00,95200.0,(주)현대백화점 THE HYUNDAI SEO,쇼핑/의류,일시불,신한,1.0,12.0,afternoon,2025-W20,2025-05-19/2025-05-25
2025-05-20 10:34:00,29000.0,북촌손만두여의도IFC몰점,식사/외식,일시불,신한,1.0,10.0,morning,2025-W20,2025-05-19/2025-05-25
2025-05-17 14:22:00,15600.0,래격마라탕,식사/외식,일시불,신한,5.0,14.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-17 12:02:00,120000.0,가르니에헤어커커,기타,일시불,신한,5.0,12.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-16 15:13:00,15600.0,쿠키앤베이커리마피,카페/음료,일시불,신한,4.0,15.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-16 11:03:00,10000.0,버터로그,카페/음료,일시불,신한,4.0,11.0,morning,2025-W19,2025-05-12/2025-05-18
2025-05-15 22:17:00,7500.0,핫브레드성신여대입구역점,카페/음료,일시불,신한,3.0,22.0,evening,2025-W19,2025-05-12/2025-05-18
2025-05-15 15:50:00,3500.0,더비즈랩 성신여대 수하루점,카페/음료,일시불,신한,3.0,15.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-13 21:38:00,4700.0,(주)카카오,금융/이체,일시불,신한,1.0,21.0,evening,2025-W19,2025-05-12/2025-05-18
2025-05-13 16:23:00,2300.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,1.0,16.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-13 14:54:00,5600.0,티머니 개인택시,교통,일시불,신한,1.0,14.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-12 23:53:00,16600.0,우아한형제들㈜,식사/외식,일시불,신한,0.0,23.0,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 23:29:00,5000.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,0.0,23.0,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 23:23:00,-5000.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,0.0,23.0,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 22:47:00,4950.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,0.0,22.0,evening,2025-W19,2025-05-12/2025-05-18
2025-05-12 16:18:00,13100.0,우아한형제들㈜,식사/외식,일시불,신한,0.0,16.0,afternoon,2025-W19,2025-05-12/2025-05-18
2025-05-11 23:00:00,3100.0,세븐일레븐 성신여대중앙점,쇼핑/의류,일시불,신한,6.0,23.0,evening,2025-W19,2025-05-05/2025-05-11
2025-05-11 20:20:00,13000.0,담솥익선직영점,식사/외식,일시불,신한,6.0,20.0,evening,2025-W19,2025-05-05/2025-05-11
2025-05-11 17:44:00,7500.0,주식회사 더커플,기타,일시불,신한,6.0,17.0,afternoon,2025-W19,2025-05-05/2025-05-11
2025-05-11 00:04:00,1200.0,설아아이스크림 신원당점,식사/외식,일시불,신한,6.0,0.0,night,2025-W19,2025-05-05/2025-05-11
2025-05-10 20:33:00,129900.0,주식회사 스타필드고양,기타,일시불,신한,5.0,20.0,evening,2025-W18,2025-05-05/2025-05-11
2025-05-10 19:02:00,209000.0,주식회사 스타필드고양,기타,일시불,신한,5.0,19.0,evening,2025-W18,2025-05-05/2025-05-11
2025-05-09 15:14:00,13000.0,루틴(ROUTINE),카페/음료,일시불,신한,4.0,15.0,afternoon,2025-W18,2025-05-05/2025-05-11
2025-05-08 16:01:00,2600.0,더비즈랩 성신여대 수하루점,카페/음료,일시불,신한,3.0,16.0,afternoon,2025-W18,2025-05-05/2025-05-11
2025-05-07 14:31:00,3900.0,매머드익스프레스성신여대점,카페/음료,일시불,신한,2.0,14.0,afternoon,2025-W18,2025-05-05/2025-05-11
2025-05-05 01:40:00,46000.0,생마차(고대안암점),식사/외식,일시불,신한,0.0,1.0,night,2025-W18,2025-05-05/2025-05-11
2025-05-04 21:14:00,12000.0,포토이즘컬러드 서울고대안암점,기타,일시불,신한,6.0,21.0,evening,2025-W18,2025-04-28/2025-05-04
2025-05-04 21:10:00,75400.0,비테라스 고대점,식사/외식,일시불,신한,6.0,21.0,evening,2025-W18,2025-04-28/2025-05-04
2025-05-03 19:36:00,13300.0,(주)카카오,금융/이체,일시불,신한,5.0,19.0,evening,2025-W17,2025-04-28/2025-05-04
2025-05-03 12:44:00,1192.0,Amazon_AWS,구독/정기결제,일시불,신한,5.0,12.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-05-03 00:38:00,69500.0,주식회사 퍼스트인텐션 생활맥주,식사/외식,일시불,신한,5.0,0.0,night,2025-W17,2025-04-28/2025-05-04
2025-05-02 15:07:00,1000.0,맬크(melc),카페/음료,일시불,신한,4.0,15.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-05-02 15:06:00,33000.0,맬크(melc),카페/음료,일시불,신한,4.0,15.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-30 20:42:00,54000.0,정통집,식사/외식,일시불,신한,2.0,20.0,evening,2025-W17,2025-04-28/2025-05-04
2025-04-30 16:55:00,5000.0,더비즈랩 성신여대 수하루점,카페/음료,일시불,신한,2.0,16.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-30 14:30:00,1700.0,카페무솔트,카페/음료,일시불,신한,2.0,14.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-29 15:21:00,12000.0,시샘달 아뜰리에(sisemdal ateli,카페/음료,일시불,신한,1.0,15.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-29 15:16:00,7900.0,미스터육회연어왕 성신여대점,식사/외식,일시불,신한,1.0,15.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-29 15:06:00,18500.0,(주)카카오,금융/이체,일시불,신한,1.0,15.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-28 12:00:00,50000.0,성북구도시관리공단,기타,일시불,신한,0.0,12.0,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-27 22:11:00,5000.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,6.0,22.0,evening,2025-W17,2025-04-21/2025-04-27
2025-04-27 21:42:00,4950.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,6.0,21.0,evening,2025-W17,2025-04-21/2025-04-27
2025-04-27 21:41:00,4950.0,성신정문점 런드리익스프레스샵,기타,일시불,신한,6.0,21.0,evening,2025-W17,2025-04-21/2025-04-27
